n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,validation_mae,validation_rmse
150,4,0.05,0.9,0.9,1.0,2.7753847866147145,4.5451363995274425
200,5,0.08,0.9,0.9,2.0,2.6302461813073,4.389308192955896
